from,to,value
MeV.FibProlif.0,MeV.Endothelial.0,13
MeV.FibProlif.0,MeV.FibProlif.0,13
MeV.Fib.0,Imm.PVM.0,13
MeV.FibCollagen.0,MeV.Pericytes.0,13
Neu.CSFcN.0,Imm.PVM.0,13
MeV.Fib.3,MeV.Endothelial.1,13
MeV.Fib.3,MeV.Endothelial.3,13
Neu.CSFcN.0,MeV.FibCollagen.0,13
MeV.FibCollagen.1,MeV.SMC.0,13
Neu.Epend.0,MeV.VLMC.0,13
MeV.LowQuality.0,MeV.FibProlif.0,13
MeV.Fib.4,MeV.FibCollagen.3,13
MeV.SMC.0,MeV.Epithelial.0,13
MeV.LowQuality.0,MeV.FibCollagen.0,13
Imm.Interferon.0,MeV.FibLaminin.0,13
Imm.DAM.0,Neu.Epend.0,12
MeV.Fib.1,Imm.M0Like.2,12
MeV.VLMC.1,Imm.MHCII.0,12
MeV.LowQuality.0,Imm.DAM.1,12
MeV.SMC.0,MeV.VLMC.1,12
MeV.VLMC.0,Imm.PVM.0,12
MeV.VLMC.1,MeV.Endothelial.0,12
MeV.Epithelial.0,MeV.Fib.4,12
MeV.VLMC.0,MeV.Fib.4,12
MeV.VLMC.1,Imm.Interferon.0,12
MeV.Fib.0,MeV.Fib.1,12
MeV.Fib.1,MeV.Fib.1,12
MeV.Fib.1,MeV.FibCollagen.0,12
MeV.FibCollagen.3,Imm.Interferon.0,12
MeV.Fib.4,MeV.SMC.0,12
MeV.VLMC.1,MeV.Fib.2,12
Imm.DAM.1,MeV.FibCollagen.1,12
Imm.M0Like.0,MeV.VLMC.0,12
MeV.Fib.5,MeV.FibProlif.0,12
MeV.Epithelial.0,MeV.Pericytes.0,12
MeV.VLMC.0,Imm.M0Like.0,12
MeV.Fib.0,MeV.FibUnknown.6,12
MeV.FibUnknown.6,MeV.FibUnknown.6,12
MeV.Fib.3,MeV.FibCollagen.2,12
MeV.ImmuneDoublets.0,MeV.Fib.0,12
MeV.ImmuneDoublets.0,MeV.FibLaminin.0,12
