from,to,value
MeV.FibProlif.0,Neu.CSFcN.0,10
MeV.Epithelial.0,MeV.Endothelial.3,13
MeV.Fib.3,Imm.DAM.1,7
MeV.Fib.3,Imm.M0Like.1,9
MeV.Fib.3,Imm.M0Like.2,10
MeV.Fib.3,MeV.Epithelial.0,10
MeV.Fib.3,MeV.Fib.4,7
MeV.VLMC.0,MeV.Epithelial.0,12
MeV.VLMC.0,MeV.Fib.4,6
MeV.Fib.0,MeV.Epithelial.0,15
MeV.Fib.0,MeV.Fib.4,6
MeV.Fib.2,Imm.M0Like.2,6
MeV.Fib.2,MeV.Epithelial.0,12
MeV.Fib.2,MeV.Fib.4,5
MeV.Fib.5,Imm.M0Like.1,6
MeV.Fib.5,Imm.M0Like.2,12
MeV.FibCollagen.0,MeV.Epithelial.0,11
MeV.FibCollagen.0,MeV.Fib.4,8
MeV.FibCollagen.3,Imm.M0Like.1,5
MeV.FibCollagen.3,Imm.M0Like.2,6
MeV.FibCollagen.3,MeV.Epithelial.0,10
MeV.FibProlif.0,Imm.DAM.1,1
MeV.FibProlif.0,Imm.M0Like.1,3
MeV.FibProlif.0,Imm.M0Like.2,5
MeV.FibProlif.0,MeV.Epithelial.0,14
MeV.FibProlif.0,MeV.Fib.4,5
MeV.FibUnknown.6,MeV.FibCollagen.1,14
MeV.VLMC.1,MeV.FibCollagen.2,5
MeV.Fib.1,MeV.Fib.3,5
MeV.Fib.5,Imm.Interferon.0,5
MeV.Fib.5,MeV.Endothelial.3,6
Imm.DAM.0,MeV.FibLaminin.0,5
Imm.DAM.0,Neu.Epend.0,7
Imm.Interferon.0,MeV.Endothelial.1,8
Imm.M0Like.0,Imm.DAM.0,6
Imm.M0Like.0,Imm.PVM.0,14
Imm.M0Like.0,MeV.Fib.3,16
Imm.M0Like.0,MeV.FibCollagen.3,12
Imm.M0Like.0,MeV.VLMC.0,7
Imm.M0Like.1,Imm.DAM.1,5
Imm.M0Like.1,Imm.M0Like.2,7
Imm.M0Like.1,MeV.FibLaminin.0,5
Imm.M0Like.1,MeV.Pericytes.0,5
Imm.M0Like.2,MeV.Fib.3,10
Imm.M0Like.2,MeV.FibLaminin.0,7
Imm.MHCII.0,MeV.Endothelial.1,5
Imm.PVM.0,Imm.M0Like.0,13
Imm.PVM.0,MeV.Endothelial.1,11
Imm.PVM.0,MeV.FibLaminin.0,6
Imm.PVM.0,MeV.LowQuality.0,8
Imm.PVM.0,MeV.Pericytes.0,8
Imm.Proliferative.0,MeV.FibLaminin.0,1
MeV.Endothelial.1,MeV.Fib.4,7
MeV.Endothelial.1,MeV.FibLaminin.0,5
MeV.Fib.0,Imm.M0Like.0,10
MeV.Fib.0,MeV.Fib.3,11
MeV.Fib.2,Imm.M0Like.0,7
MeV.Fib.5,Imm.DAM.0,3
MeV.Fib.5,Imm.M0Like.0,12
MeV.Fib.5,MeV.Endothelial.1,11
MeV.Fib.5,MeV.FibUnknown.6,15
MeV.Fib.5,MeV.LowQuality.0,9
MeV.FibLaminin.0,Imm.DAM.1,3
MeV.FibUnknown.6,Imm.DAM.1,10
MeV.FibUnknown.6,Imm.Interferon.0,15
MeV.FibUnknown.6,Imm.PVM.0,14
MeV.FibUnknown.6,MeV.Fib.0,15
MeV.FibUnknown.6,MeV.Fib.3,18
