from,to,value
Neu.Epend.0,MeV.ImmuneDoublets.0,48
Neu.Epend.0,Imm.PVM.0,39
Neu.Epend.0,Imm.DAM.1,28
Neu.Epend.0,Imm.Proliferative.0,18
Neu.Epend.0,Neu.CSFcN.0,59
Neu.Epend.0,Neu.Epend.0,24
Neu.Epend.0,MeV.Epithelial.0,37
Neu.Epend.0,MeV.Pericytes.0,43
Neu.Epend.0,MeV.Endothelial.0,34
Neu.Epend.0,MeV.SMC.0,27
Neu.Epend.0,MeV.FibCollagen.1,45
Neu.Epend.0,MeV.Fib.5,42
Neu.Epend.0,MeV.Fib.4,40
Neu.Epend.0,MeV.FibProlif.0,47
Neu.Epend.0,MeV.Endothelial.3,34
Neu.Epend.0,MeV.FibCollagen.2,37
Neu.Epend.0,MeV.VLMC.1,38
Neu.Epend.0,MeV.FibLaminin.0,47
Neu.Epend.0,MeV.VLMC.0,40
Neu.Epend.0,MeV.Fib.3,50
Neu.Epend.0,MeV.FibUnknown.6,57
Neu.Epend.0,MeV.LowQuality.0,42
Neu.Epend.0,Imm.M0Like.0,39
Neu.Epend.0,MeV.Endothelial.1,45
Neu.Epend.0,MeV.Fib.2,55
Neu.Epend.0,MeV.FibCollagen.0,48
Neu.Epend.0,MeV.Fib.0,60
Neu.Epend.0,MeV.Fib.1,45
Neu.Epend.0,MeV.Endothelial.2,34
Neu.Epend.0,MeV.FibCollagen.3,49
MeV.Epithelial.0,Imm.M0Like.1,16
MeV.Epithelial.0,Imm.M0Like.2,18
MeV.Epithelial.0,Imm.DAM.0,14
MeV.Epithelial.0,Imm.MHCII.0,12
MeV.Epithelial.0,Imm.Interferon.0,13
MeV.Epithelial.0,MeV.ImmuneDoublets.0,17
MeV.Epithelial.0,Imm.PVM.0,16
MeV.Epithelial.0,Imm.DAM.1,18
MeV.Epithelial.0,Imm.Proliferative.0,5
MeV.Epithelial.0,Neu.CSFcN.0,52
MeV.Epithelial.0,Neu.Epend.0,37
MeV.Epithelial.0,MeV.Epithelial.0,23
MeV.Epithelial.0,MeV.Pericytes.0,40
MeV.Epithelial.0,MeV.Endothelial.0,20
MeV.Epithelial.0,MeV.SMC.0,36
MeV.Epithelial.0,MeV.FibCollagen.1,43
MeV.Epithelial.0,MeV.Fib.5,34
MeV.Epithelial.0,MeV.Fib.4,34
MeV.Epithelial.0,MeV.FibProlif.0,33
